Sample,Raw Total Sequences,Reads Mapped,MapQ 30,Reads Unmapped,Reads Duplicated,Reads MQ0,Average Length,Maximum Length,Average Quality,Insert Size Average,Insert Size Std Dev,Percentage Properly Paired,Mean Insert Size,Std Insert Size,Median Insert Size,Mean Mapping Quality,Mean Coverage,Std Coverage,Coverage 1X,Coverage 5X,Coverage 10X,Coverage >15X
5411,71217978,71214724,64636597,3254,7741534,4788202,138,150,38.3,382.5,109.9,93.9,"138,797.9198","3,148,971.193",375,56.7562,4.0985X,12.8064X,94.98,34.37,2.44,0.36
2017N009,173847698,173829389,158128420,18309,17237589,12535000,136,150,36.1,233.3,118.7,97.9,"46,270.7504","1,853,908.8835",214,56.7753,9.8774X,44.1849X,99.23,85.88,43.33,11.97
A2019-05574,224761942,224524164,197608815,237778,28129079,21274847,140,150,36.0,249.9,117.6,97.5,"49,703.6726","1,896,790.0674",228,56.5872,13.0602X,46.7965X,99.67,94.39,64.75,27.49
7869,74726728,74721637,66127223,5091,8029712,6021315,142,150,38.9,263.0,73.2,97.4,"43,047.2252","1,709,469.8892",253,55.8751,4.3815X,23.1272X,86.07,35.18,8.32,1.96
A1993-05175,209803418,209767944,193266896,35474,20029764,13227324,136,150,36.1,230.9,115.0,98.5,"31,576.7096","1,519,623.501",212,57.0102,11.9754X,76.4525X,99.5,92.16,60.24,23.62
PP79-2003,100106380,100101168,91859068,5212,7310684,6115949,145,150,39.3,278.4,18.1,97.8,"21,968.0051","1,233,454.5046",280,56.9955,6.1076X,37.7679X,95.86,57.67,15.19,2.47
A2005-05129,144789352,144776681,131170688,12671,15759965,11142712,133,150,36.1,200.7,98.0,98.3,"40,906.4731","1,806,126.3517",186,56.6812,8.0025X,32.2864X,98.61,75.55,27.51,5.57
3014,207128284,207118237,187849935,10047,22952469,15449261,136,150,36.1,226.2,112.4,97.3,"58,603.4123","2,048,421.1523",210,56.7133,11.6995X,36.6815X,99.54,92.67,58.36,21.39
A2020-05731,156114458,156105324,137880122,9134,17276615,14959657,134,150,36.2,211.0,103.7,98.3,"35,861.1431","1,634,503.2279",195,56.522,8.7454X,41.3518X,98.92,78.65,31.23,6.98
No-2,241669142,241655690,216572622,13452,29542243,20266444,136,150,36.0,217.3,105.2,97.3,"58,119.4836","2,047,788.9647",202,56.5288,13.6102X,47.4765X,99.55,94.46,69.41,33.56
A1984-05062,221327206,221311334,193999049,15872,27809707,21880110,138,150,36.0,240.2,114.7,97.3,"56,447.5515","2,004,345.3299",222,56.3935,12.7603X,46.787X,99.55,92.45,61.72,26.29
1660,92983360,92977398,86681253,5962,5312980,4329016,144,150,39.2,298.4,89.7,97.9,"35,804.6567","1,561,054.4429",283,56.35,5.5443X,10.0872X,96.3,54.67,10.97,1.61
5067,581114254,580840869,523673857,273385,65416593,46016608,141,150,36.3,222.6,90.9,98.7,"21,698.3562","1,258,699.2028",206,56.8466,34.4935X,104.801X,99.84,99.62,99.18,97.66
B22-15,354641110,353628250,288128682,1012860,22593339,54383894,131,150,36.2,169.4,72.0,97.5,"41,972.0544","1,779,319.4129",161,55.0879,19.2429X,93.1479X,99.54,94.89,78.42,54.53
B58-15,277332454,276282488,217749725,1049966,32689741,48437982,121,150,36.3,138.9,60.3,96.6,"56,181.627","2,037,929.8389",129,53.6988,13.6665X,82.659X,96.23,76.47,48.96,29.01
145258,71554978,71549842,59818637,5136,7986027,7847357,141,150,38.8,284.7,86.5,96.4,"43,985.227","1,695,650.0165",270,55.2923,4.1632X,32.5819X,84.39,30.23,6.04,1.42
Del_leu,857733522,857638908,715049575,94614,214968770,83229470,142,150,38.8,371.1,119.0,92.7,"118,898.4467","2,665,363.0269",357,54.2817,50.6864X,961.9668X,98.35,97.49,96.92,96.41
4993,514421986,514344015,464397071,77971,64900136,39120408,144,150,36.1,225.2,73.8,98.1,"36,144.6584","1,616,331.4428",214,56.9013,31.1168X,98.0199X,99.8,99.43,98.42,95.04
5077,474998448,474902926,425386337,95522,51783997,39775009,141,150,36.2,212.3,84.1,98.6,"23,949.6013","1,314,710.658",197,56.6845,28.0499X,89.9958X,99.82,99.43,97.29,89.6
52777,71175186,71169257,64768058,5929,7571988,4399755,142,150,38.9,293.7,90.0,97.7,"36,095.3873","1,563,761.7848",279,56.0935,4.1725X,12.1938X,87.39,34.68,7.16,1.51
1654,103938344,103929402,96286637,8942,5066504,5207306,144,150,39.2,295.8,92.4,97.2,"49,449.4917","1,812,826.8963",279,56.0799,6.1096X,11.0863X,96.98,60.69,14.64,2.35
19LN834,184825694,184816292,174598400,9402,16360543,8207601,137,150,36.1,238.6,118.4,99.1,"21,826.7339","1,324,450.0576",220,57.4396,10.6266X,39.2613X,99.3,87.54,49.78,19.06
98-028,190810158,190796276,163877759,13882,18466770,22266208,138,150,36.2,195.2,81.1,96.9,"55,678.418","2,018,826.6366",181,56.1396,10.9406X,45.0435X,99.04,84.44,45.93,17.16
